school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
R S Mclaughlin Collegiate and Vocational Institute,Public,80,-3,16,7,7,2
Sinclair Secondary School,Public,79,-1,10,2,14,3
Uxbridge Secondary School,Public,89,2,7,1,3,1
Brantford Collegiate Institute and Vocational School,Public,72,-7,14,3,3,1
Cayuga Secondary School,Public,63,-16,10,0,0,0
Delhi District Secondary School,Public,57,-13,13,8,3,2
Dunnville Secondary School,Public,67,7,10,10,0,0
Hagersville Secondary School,Public,56,-17,5,5,0,0
McKinnon Park Secondary School,Public,68,-1,7,2,4,1
North Park Collegiate and Vocational School,Public,72,1,15,4,7,0
Paris District High School,Public,72,-1,10,3,1,0
Pauline Johnson Collegiate and Vocational School,Public,46,-9,23,8,5,1
Simcoe Composite School,Public,67,-3,11,6,1,0
Tollgate Technological Skills Centre Secondary School,Public,0,-2,20,10,0,0
Valley Heights Secondary School,Public,47,-13,10,30,35,0
Waterford District High School,Public,64,-7,10,0,0,0
Belle River District High School,Public,76,4,7,3,5,0
Essex District High School,Public,84,12,7,4,0,1
General Amherst High School,Public,81,-1,8,0,1,0
Hon W C Kennedy Collegiate Institute,Public,64,-2,38,16,34,6
Kingsville District High School,Public,81,-6,8,13,6,0
Leamington District Secondary School,Public,66,-11,15,28,31,11
Riverside Secondary School,Public,75,0,18,7,20,3
Sandwich Secondary School,Public,91,2,9,3,9,0
Tecumseh Vista Academy- Secondary,Public,90,-2,9,2,9,0
Vincent Massey Secondary School,Public,84,-6,20,5,49,6
W. F. Herman Academy Secondary School,Public,62,-10,28,11,14,5
Walkerville Collegiate Institute,Public,81,2,29,11,10,1
Western Secondary School,Public,10,8,10,10,5,0
Westview Freedom Academy Secondary School,Public,39,-2,42,17,59,43
Assumption Catholic Secondary School,Catholic,87,-2,11,3,18,6
Bishop Paul Francis Reding Catholic Secondary School,Catholic,86,0,11,4,33,5
Christ the King Catholic Secondary School,Catholic,81,-6,4,2,5,1
Corpus Christi Catholic Secondary School,Catholic,88,2,7,1,21,4
Holy Trinity Catholic Secondary School,Catholic,86,1,13,2,17,6
Jean Vanier Catholic Secondary School,Catholic,85,0,15,3,37,6
Notre Dame Catholic Secondary School,Catholic,82,-6,7,2,11,2
St. Ignatius of Loyola Catholic Secondary School,Catholic,91,0,13,2,23,5
St. Thomas Aquinas Catholic Secondary School,Catholic,83,0,13,2,20,10
Abbey Park High School,Public,93,1,14,1,44,10
Acton District High School,Public,80,2,5,5,5,0
Aldershot High School,Public,78,-8,10,5,20,0
Burlington Central High School,Public,78,-5,15,4,32,11
Craig Kielburger Secondary School,Public,75,-5,10,4,37,6
Dr. Frank J. Hayden Secondary School,Public,87,0,8,1,30,2
Garth Webb Secondary School,Public,93,0,12,2,43,8
Georgetown District High School,Public,80,-2,4,3,10,1
Iroquois Ridge High School,Public,94,1,14,1,47,8
M M Robinson High School,Public,76,-1,8,4,17,1
Milton District High School,Public,91,4,12,1,42,4
