school_name,school_type,osslt10,low_inc,no_deg,esl,imm
St Augustine Secondary School,Catholic,79,14,7,27,7
St Edmund Campion Secondary School,Catholic,89,11,8,23,3
St Francis Xavier Secondary School,Catholic,91,16,5,34,4
St Joseph Secondary School,Catholic,92,17,6,28,7
St Marcellinus Secondary School,Catholic,95,10,5,22,4
St Marguerite d'Youville Secondary School,Catholic,85,11,9,21,4
St Martin Secondary School,Catholic,84,19,4,34,5
St Paul Secondary School,Catholic,94,17,5,27,2
St Thomas Aquinas Secondary School,Catholic,72,16,10,25,4
St. Joan of Arc Catholic Secondary School,Catholic,88,20,3,45,8
St. Michael Catholic Secondary School,Catholic,82,6,4,6,1
St. Roch Catholic Secondary School,Catholic,82,11,7,20,3
All Saints Catholic Secondary School Secondary School,Catholic,89,10,3,7,2
Archbishop Denis O'Connor Catholic High School,Catholic,88,12,8,10,3
Father Leo J Austin Catholic Secondary School,Catholic,91,10,2,8,1
Monsignor John Pereyma Catholic Secondary School,Catholic,86,25,10,10,10
Monsignor Paul Dwyer Catholic High School,Catholic,86,14,5,7,3
Notre Dame Catholic Secondary School,Catholic,85,14,5,9,2
St Mary Catholic Secondary School,Catholic,85,9,4,8,1
Ajax High School,Public,85,12,6,15,4
Anderson Collegiate and Vocational Institute,Public,87,9,1,16,3
Brock High School,Public,67,10,5,5,0
Brooklin High School,Public,87,5,3,4,0
Donald A Wilson Secondary School,Public,89,8,2,16,2
Dunbarton High School,Public,88,8,3,17,1
Durham Alternative Secondary School,Public,64,20,10,10,5
Eastdale Collegiate and Vocational Institute,Public,79,16,6,9,3
G L Roberts Collegiate and Vocational Institute,Public,67,30,15,10,0
Henry Street High School,Public,90,13,4,12,4
J Clarke Richardson Collegiate Institute,Public,88,13,5,35,3
Maxwell Heights Secondary School,Public,89,11,2,16,2
O'Neill Collegiate and Vocational Institute,Public,85,19,5,12,4
Pickering High School,Public,87,10,5,23,2
Pine Ridge Secondary School,Public,83,12,4,26,1
Port Perry High School,Public,78,10,0,1,0
R S Mclaughlin Collegiate and Vocational Institute,Public,84,16,9,13,3
Sinclair Secondary School,Public,82,9,3,21,2
Uxbridge Secondary School,Public,86,6,1,4,0
Brantford Collegiate Institute and Vocational School,Public,84,14,3,5,1
Cayuga Secondary School,Public,72,10,1,3,2
Delhi District Secondary School,Public,78,11,9,3,0
Dunnville Secondary School,Public,63,10,10,0,0
Hagersville Secondary School,Public,84,10,5,0,0
McKinnon Park Secondary School,Public,74,6,2,2,0
North Park Collegiate and Vocational School,Public,84,15,5,8,1
Paris District High School,Public,84,10,3,3,1
Pauline Johnson Collegiate and Vocational School,Public,53,22,9,7,2
Simcoe Composite School,Public,84,13,6,2,0
Tollgate Technological Skills Centre Secondary School,Public,0,20,5,5,0
Valley Heights Secondary School,Public,81,10,30,30,0
Waterford District High School,Public,76,10,5,0,0
