year,country,math,read,science
2000,CHL,382.36,512.4,617.19
2000,CHL,369.38,391.51,419.63
2000,CHL,380.8,368.74,362.74
2000,CHL,234.29,333.34,366.41
2000,CHL,386.14,362.37,278.84
2000,CHL,434.26,465.13,503.53
2000,CHL,347.98,416.91,428.59
2000,CHL,438.8,347.83,276.14
2000,CHL,226.66,359.7,356.49
2000,CHL,431.17,424.18,363.64
2000,CHL,260.97,361.46,316.73
2000,CHL,362.51,426.96,424.15
2000,CHL,281.61,424.23,387.16
2000,CHL,232,472.4,418.73
2000,CHL,383.85,376.01,387.99
2000,CHL,135.07,274.26,280.72
2000,CHL,331.22,371.51,410.61
2000,CHL,403.7,434.18,310.42
2000,CHL,441.13,419.69,493.6
2000,CHL,399.88,380.55,394.31
2000,CHL,325.88,464.22,468.35
2000,CHL,444.15,455.99,433.1
2000,CHL,303.71,344.2,336.58
2000,CHL,429.65,369.65,391.6
2000,CHL,318.21,342.38,349.21
2000,CHL,281.61,335.15,367.31
2000,CHL,212.92,325.16,376.34
2000,CHL,445.71,459.68,485.49
2000,CHL,487.65,417.82,412.35
2000,CHL,413.62,398.73,383.48
2000,CHL,399.91,454.23,452.11
2000,CHL,335.01,360.56,420.47
2000,CHL,354.88,386.96,323.11
2000,CHL,336.56,454.23,433.17
2000,CHL,502.92,488.72,305.91
2000,CHL,295.35,323.34,283.42
2000,CHL,241.89,348.74,469.18
2000,CHL,389.23,433.32,436.77
2000,CHL,302.95,391.46,366.34
2000,CHL,413.62,380.55,362.74
2000,CHL,328.17,381.51,385.36
2000,CHL,315.92,335.11,314.02
2000,CHL,303.74,309.7,324.02
2000,CHL,325.11,403.33,487.29
2000,CHL,468.57,468.72,404.23
2000,CHL,281.61,427.87,390.77
2000,CHL,376.22,429.64,358.23
2000,CHL,349.54,432.41,465.64
2000,CHL,414.38,505.08,472.79
2000,CHL,352.56,336.01,290.57
2000,CHL,430.44,496.04,444.89
2000,CHL,402.2,470.59,511.65
2000,CHL,297.61,301.48,324.85
2000,CHL,325.11,445.14,353.78
2000,CHL,248.79,445.14,494.51
2000,CHL,494.52,499.62,445.73
2000,CHL,389.96,449.63,437.61
2000,CHL,497.57,451.45,545.86
2000,CHL,357.17,418.78,471.95
2000,CHL,434.23,404.18,412.35
2000,CHL,354.12,437.86,436.77
2000,CHL,454.1,527.85,570.28
2000,CHL,345.72,307.89,430.46
2000,CHL,213.65,277.84,287.86
2000,CHL,286.19,337.88,244.63
