year,country,math,read,science
2000,FIN,632.7,639.65,657.78
2000,FIN,408.28,485.08,480.01
2000,FIN,679.25,723.27,682.14
2000,FIN,589.16,625.06,597.27
2000,FIN,542.64,552.39,503.53
2000,FIN,545.66,600.52,585.55
2000,FIN,557.87,621.42,618.92
2000,FIN,389.96,437.82,472.79
2000,FIN,671.59,686.86,573.82
2000,FIN,623.54,562.39,610.87
2000,FIN,457.15,398.78,468.35
2000,FIN,485.39,560.57,497.21
2000,FIN,549.47,623.24,539.54
2000,FIN,563.24,645.1,600.95
2000,FIN,602.93,662.37,625.31
2000,FIN,493.79,394.24,443.99
2000,FIN,569.32,618.69,536.84
2000,FIN,537.26,570.52,581.04
2000,FIN,425.86,446.05,407.01
2000,FIN,519.71,550.52,534.13
2000,FIN,373.2,426.05,404.3
2000,FIN,544.89,505.08,509.77
2000,FIN,627.35,471.5,543.22
2000,FIN,502.92,455.99,457.45
2000,FIN,607.48,500.53,613.51
2000,FIN,688.41,740.54,732.65
2000,FIN,445.67,488.72,498.05
2000,FIN,532.68,715.04,700.11
2000,FIN,430.44,465.13,471.05
2000,FIN,579.27,640.56,641.54
2000,FIN,513.63,563.3,459.33
2000,FIN,538.79,595.06,557.58
2000,FIN,538.06,597.84,509.84
2000,FIN,644.11,635.05,655.91
2000,FIN,578.51,593.29,549.53
2000,FIN,536.5,629.6,537.74
2000,FIN,531.19,523.3,529.69
2000,FIN,670.83,699.59,642.38
2000,FIN,680.78,565.12,563.06
2000,FIN,441.13,507.85,520.67
2000,FIN,615.87,683.23,606.3
2000,FIN,567.03,618.69,575.63
2000,FIN,647.2,573.3,646.05
2000,FIN,605.19,559.61,587.35
2000,FIN,570.88,511.49,524.27
2000,FIN,573.93,517.85,516.16
2000,FIN,518.98,615.11,533.3
2000,FIN,624.27,524.16,509.77
2000,FIN,603.66,583.25,549.47
2000,FIN,599.88,651.46,605.46
2000,FIN,547.18,657.78,544.05
2000,FIN,586.87,648.69,590.96
2000,FIN,576.95,615.97,581.94
2000,FIN,670.86,621.47,592.83
2000,FIN,624.3,639.65,679.43
2000,FIN,417.43,401.46,406.94
2000,FIN,468.6,438.77,447.6
2000,FIN,648.72,606.02,531.49
2000,FIN,578.48,633.24,531.42
2000,FIN,549.5,569.66,480.07
2000,FIN,555.61,568.75,515.25
2000,FIN,585.38,567.84,455.72
2000,FIN,512.84,568.7,548.56
2000,FIN,534.97,475.08,481.81
2000,FIN,466.31,486.95,470.15
2000,FIN,493.79,560.57,583.81
2000,FIN,657.09,645.96,585.55
2000,FIN,684.6,615.11,670.41
2000,FIN,582.32,504.22,545.92
2000,FIN,531.16,460.54,461.96
2000,FIN,531.16,632.33,599.98
2000,FIN,592.25,545.12,545.92
2000,FIN,550.24,559.61,444.82
2000,FIN,496.08,454.23,537.81
2000,FIN,585.35,708.68,628.85
2000,FIN,600.64,516.94,548.63
2000,FIN,538.06,432.41,466.54
2000,FIN,421.25,447.81,394.31
2000,FIN,570.11,536.94,393.47
2000,FIN,613.58,538.71,590.06
2000,FIN,575.45,480.58,411.52
2000,FIN,538.02,568.7,464.67
2000,FIN,560.92,588.7,548.56
2000,FIN,467.04,438.72,494.44
2000,FIN,540.35,579.66,555.85
2000,FIN,444.15,425.09,469.18
2000,FIN,643.38,685.1,638.84
2000,FIN,552.53,557.8,566.6
2000,FIN,537.26,630.51,654.11
2000,FIN,571.64,524.21,517.96
2000,FIN,526.61,516.03,462.93
2000,FIN,513.63,429.68,490.9
2000,FIN,439.6,556.94,450.31
2000,FIN,513.63,482.4,486.39
2000,FIN,647.93,614.15,628.85
2000,FIN,496.81,563.25,535.93
2000,FIN,486.13,420.55,400.62
2000,FIN,584.61,677.82,543.22
2000,FIN,435.34,232.99,379.42
2000,FIN,350.62,306.61,437.15
2000,FIN,406.34,344.79,549.91
2000,FIN,406.34,215.72,377.62
2000,FIN,222.4,160.28,342.44
2000,FIN,458.68,486.95,486.39
2000,FIN,525.81,542.34,550.37
2000,FIN,678.46,645.96,619.83
2000,FIN,563.21,581.43,546.76
2000,FIN,493.76,456.9,406.04
2000,FIN,537.29,595.11,537.81
2000,FIN,670.83,713.22,701.91
2000,FIN,610.56,516.03,499.02
2000,FIN,531.16,478.72,498.95
2000,FIN,627.35,634.2,632.52
2000,FIN,689.14,708.68,758.75
2000,FIN,641.09,627.83,576.59
2000,FIN,547.98,491.49,475.56
2000,FIN,613.58,662.32,612.61
2000,FIN,483.84,453.27,469.18
2000,FIN,507.5,638.69,639.67
2000,FIN,574.69,596.93,631.62
2000,FIN,501.42,426.05,428.66
2000,FIN,502.18,580.57,506.23
2000,FIN,543.4,514.22,454.82
2000,FIN,457.89,467.81,451.14
2000,FIN,521.23,569.61,529.62
2000,FIN,652.54,642.38,549.53
2000,FIN,607.48,649.6,595.47
2000,FIN,460.94,429.64,432.2
2000,FIN,551.79,530.58,526.98
2000,FIN,544.89,513.26,546.76
2000,FIN,495.32,483.31,562.16
2000,FIN,514.4,520.58,516.16
2000,FIN,613.58,552.34,551.27
2000,FIN,472.39,406.91,461.06
2000,FIN,562.48,622.38,611.78
2000,FIN,538.06,570.57,528.79
2000,FIN,539.55,593.24,517.89
2000,FIN,623.54,669.64,618.99
2000,FIN,518.18,511.44,492.63
2000,FIN,554.08,452.41,483.68
2000,FIN,594.54,633.29,710.1
2000,FIN,585.35,632.33,545.86
2000,FIN,538.02,548.71,501.66
2000,FIN,626.59,689.64,658.68
2000,FIN,610.53,622.33,628.85
2000,FIN,699.86,730.54,609.97
2000,FIN,670.06,687.77,696.5
2000,FIN,505.97,503.26,473.69
2000,FIN,485.39,487.86,517.06
2000,FIN,497.6,589.66,552.24
2000,FIN,622.01,687.82,645.15
2000,FIN,590.72,630.56,539.61
2000,FIN,537.26,649.6,590.96
2000,FIN,638.77,691.41,636.97
2000,FIN,487.65,468.72,447.53
2000,FIN,489.97,502.4,405.2
2000,FIN,488.41,695.95,570.21
