year,country,math,read,science
2000,HKG,693.76,666.01,616.29
2000,HKG,450.25,441.45,477.3
2000,HKG,551.03,616.02,592.83
2000,HKG,556.37,490.58,526.98
2000,HKG,523.52,500.53,484.52
2000,HKG,608.27,558.75,592.83
2000,HKG,618.93,575.97,650.5
2000,HKG,497.6,450.59,448.5
2000,HKG,620.45,610.51,629.75
2000,HKG,544.13,579.61,598.18
2000,HKG,635.75,616.02,626.21
2000,HKG,529.63,497.81,509.77
2000,HKG,583.09,477.86,535.1
2000,HKG,504.47,553.3,486.39
2000,HKG,479.26,535.98,503.46
2000,HKG,479.29,551.48,577.5
2000,HKG,609.77,514.17,551.27
2000,HKG,573.9,567.79,544.05
2000,HKG,599.88,497.85,480.98
2000,HKG,570.08,539.62,522.4
2000,HKG,599.11,513.31,462.03
2000,HKG,564.01,518.76,575.69
2000,HKG,587.67,533.3,510.74
2000,HKG,567.79,539.62,519.7
2000,HKG,568.55,559.61,553.07
2000,HKG,587.67,544.21,598.24
2000,HKG,470.89,400.6,388.06
2000,HKG,367.06,421.45,481.81
2000,HKG,406.78,370.6,387.16
2000,HKG,350.27,311.47,348.3
2000,HKG,299.13,343.29,406.94
2000,HKG,601.4,516.03,531.49
2000,HKG,483.1,447.86,486.39
2000,HKG,570.88,605.11,617.19
2000,HKG,523.52,561.43,558.49
2000,HKG,528.1,538.71,507.97
2000,HKG,385.38,481.44,498.05
2000,HKG,541.84,527.8,537.74
2000,HKG,754.81,720.54,687.55
2000,HKG,666.28,560.57,618.99
2000,HKG,576.22,546.94,494.51
2000,HKG,538.82,529.67,496.31
2000,HKG,591.45,515.98,599.08
2000,HKG,476.97,569.61,509.77
2000,HKG,567.79,589.61,602.69
2000,HKG,593.74,629.6,620.73
2000,HKG,676.96,576.93,570.28
2000,HKG,687.65,617.83,617.19
2000,HKG,640.3,609.6,604.49
2000,HKG,722.76,649.65,655.07
2000,HKG,568.55,600.52,572.02
2000,HKG,712.04,595.06,670.34
2000,HKG,656.36,619.65,617.19
2000,HKG,621.22,570.52,608.1
2000,HKG,625.83,573.3,623.5
2000,HKG,411.33,462.36,443.02
2000,HKG,481.58,505.13,471.95
2000,HKG,362.48,348.74,370.86
2000,HKG,529.66,439.68,471.95
2000,HKG,486.13,387.82,418.66
2000,HKG,467.04,404.18,413.25
2000,HKG,464.79,411.51,380.85
2000,HKG,477.73,497.81,443.02
2000,HKG,621.25,661.46,603.66
2000,HKG,491.5,504.22,452.11
2000,HKG,467.81,464.17,419.57
2000,HKG,570.08,501.44,512.48
2000,HKG,348.77,365.15,391.67
2000,HKG,512.07,472.36,562.09
2000,HKG,402.2,374.24,413.32
2000,HKG,653.27,639.6,699.21
2000,HKG,622.77,556.94,499.02
2000,HKG,653.3,606.02,562.16
2000,HKG,592.21,647.78,575.63
2000,HKG,527.37,585.11,575.69
2000,HKG,606.75,585.11,620.8
2000,HKG,512.84,637.78,601.79
2000,HKG,603.66,544.16,636.06
2000,HKG,617.4,605.06,532.33
2000,HKG,673.91,637.83,609.07
2000,HKG,629.64,562.39,593.73
2000,HKG,704.44,666.01,673.12
2000,HKG,651.01,596.93,655.98
2000,HKG,577.71,645.05,669.44
2000,HKG,754.81,628.74,581.11
2000,HKG,534.21,554.16,491.73
2000,HKG,716.65,636.01,606.36
2000,HKG,549.47,546.89,616.22
2000,HKG,591.45,574.16,461.96
2000,HKG,584.61,586.93,566.67
2000,HKG,634.19,574.16,635.16
2000,HKG,518.18,470.54,434
2000,HKG,370.88,467.81,512.48
2000,HKG,543.4,496.04,545.02
2000,HKG,438.07,458.77,424.15
2000,HKG,457.12,439.63,526.01
2000,HKG,572.37,512.35,508.87
2000,HKG,586.14,503.31,529.69
2000,HKG,620.49,638.74,621.7
2000,HKG,538.82,580.57,559.46
2000,HKG,522.76,564.16,597.27
2000,HKG,686.89,621.47,636.13
2000,HKG,609.01,515.08,552.17
2000,HKG,594.5,489.63,486.32
2000,HKG,624.3,581.48,600.95
2000,HKG,467.84,503.31,498.11
2000,HKG,545.69,501.49,545.92
2000,HKG,528.9,508.76,517.96
2000,HKG,513.6,466.9,353.72
2000,HKG,447.96,517.8,463.77
2000,HKG,567.82,575.11,542.32
2000,HKG,556.34,547.8,524.21
2000,HKG,601.4,480.58,519.76
2000,HKG,502.15,508.71,471.89
2000,HKG,554.05,538.71,592.76
2000,HKG,482.34,453.32,480.07
2000,HKG,360.22,358.79,475.56
2000,HKG,410.57,353.28,342.89
2000,HKG,372.4,268.75,286.06
2000,HKG,442.62,372.37,338.38
2000,HKG,422.01,342.38,364.54
2000,HKG,439.6,401.51,403.4
2000,HKG,408.31,345.15,412.42
2000,HKG,499.89,516.94,496.31
2000,HKG,531.16,528.71,540.44
2000,HKG,497.6,461.5,508.94
2000,HKG,606.72,533.25,528.72
2000,HKG,638.01,572.34,576.53
2000,HKG,535.74,589.61,550.37
2000,HKG,618.2,626.01,629.82
2000,HKG,671.62,640.56,618.09
2000,HKG,684.6,655.1,659.59
2000,HKG,599.85,575.97,655.91
2000,HKG,647.2,587.84,522.47
2000,HKG,701.36,720.49,676.66
2000,HKG,690.7,610.56,619.89
2000,HKG,593.74,603.24,604.49
2000,HKG,626.59,607.84,677.63
2000,HKG,647.96,606.02,583.81
2000,HKG,577.71,621.42,645.99
2000,HKG,402.17,442.36,476.4
2000,HKG,684.6,634.2,678.53
2000,HKG,478.49,479.63,535.03
2000,HKG,592.21,603.24,559.39
2000,HKG,595.27,564.16,599.98
2000,HKG,551,545.07,546.76
2000,HKG,451.78,495.08,495.34
2000,HKG,564.77,466.95,469.25
2000,HKG,553.32,529.67,473.76
2000,HKG,563.24,480.58,458.42
2000,HKG,505.97,480.54,524.21
2000,HKG,535,403.33,425.05
2000,HKG,433.46,482.35,521.5
2000,HKG,355.61,331.47,371.76
2000,HKG,564.77,587.84,528.79
2000,HKG,545.69,564.21,591.03
2000,HKG,652.54,586.02,590.13
2000,HKG,538.79,467.81,514.28
2000,HKG,483.07,497.81,461.96
2000,HKG,558.66,521.49,526.98
2000,HKG,620.49,515.12,621.7
2000,HKG,484.63,490.58,479.17
2000,HKG,562.45,582.34,660.42
2000,HKG,616.64,600.52,600.88
2000,HKG,526.58,497.81,540.44
2000,HKG,691.47,606.93,676.72
2000,HKG,574.69,506.03,543.22
2000,HKG,606.75,589.66,566.67
2000,HKG,532.71,537.85,520.67
2000,HKG,527.37,506.94,452.11
2000,HKG,415.94,453.32,508.94
2000,HKG,580,508.71,555.78
2000,HKG,576.19,543.25,599.08
2000,HKG,708.26,609.65,617.19
2000,HKG,607.51,546.03,517.96
2000,HKG,671.62,640.56,652.37
2000,HKG,617.4,629.6,648.69
2000,HKG,585.38,591.48,588.32
2000,HKG,615.11,495.99,559.39
2000,HKG,592.98,518.71,535.03
2000,HKG,528.87,538.71,533.23
2000,HKG,618.2,470.59,494.51
2000,HKG,695.25,644.14,645.99
2000,HKG,675.41,707.77,648.69
2000,HKG,591.45,556.89,558.49
2000,HKG,509.82,488.77,459.33
2000,HKG,682.31,659.65,580.2
2000,HKG,409.07,450.59,528.79
2000,HKG,522.76,512.35,480.01
2000,HKG,552.56,450.59,425.05
2000,HKG,380.04,496.9,444.82
2000,HKG,452.54,463.27,496.24
2000,HKG,530.42,505.13,539.61
2000,HKG,389.23,406.96,378.14
2000,HKG,690.7,585.11,564.87
2000,HKG,470.86,564.16,544.05
2000,HKG,603.66,576.88,566.6
2000,HKG,540.35,518.76,491.8
2000,HKG,596.06,592.38,565.77
2000,HKG,510.55,464.17,520.6
2000,HKG,612.09,596.93,531.49
2000,HKG,547.98,476.95,470.15
2000,HKG,685.33,595.06,679.36
2000,HKG,537.29,426.05,444.89
2000,HKG,483.07,485.99,481.81
2000,HKG,469.33,506.89,507.07
2000,HKG,582.29,507.8,569.31
2000,HKG,588.43,551.48,530.59
2000,HKG,446.47,275.17,395.28
2000,HKG,644.11,645.96,627.95
2000,HKG,658.65,633.29,541.41
2000,HKG,789.16,726,686.65
2000,HKG,708.99,615.06,632.46
2000,HKG,570.84,543.25,535.93
2000,HKG,728.86,706.91,777.76
2000,HKG,733.44,710.55,709.2
2000,HKG,658.62,655.96,681.17
2000,HKG,611.33,500.58,489.09
2000,HKG,613.62,553.3,551.34
2000,HKG,635.72,590.52,645.08
2000,HKG,541.84,533.25,633.36
2000,HKG,539.58,463.31,491.8
2000,HKG,535.74,537.8,535.03
2000,HKG,554.85,586.02,576.59
2000,HKG,586.14,493.31,426.85
2000,HKG,549.47,579.61,592.76
2000,HKG,517.45,520.58,520.67
2000,HKG,644.88,632.33,692.89
2000,HKG,646.43,574.21,591.93
2000,HKG,581.53,538.71,576.53
2000,HKG,626.56,586.88,671.24
2000,HKG,561.68,565.07,599.98
2000,HKG,589.19,565.12,521.57
2000,HKG,599.08,567.79,528.72
2000,HKG,560.16,542.34,622.53
2000,HKG,644.91,599.66,642.45
2000,HKG,640.3,491.44,528.72
2000,HKG,547.21,565.12,616.29
2000,HKG,607.51,500.58,513.45
2000,HKG,539.55,588.7,555.78
2000,HKG,509.05,514.22,481.88
2000,HKG,508.29,430.59,472.86
2000,HKG,487.65,487.81,537.74
2000,HKG,351.8,360.56,434
2000,HKG,460.94,409.64,487.22
2000,HKG,701.39,665.1,599.15
2000,HKG,640.33,606.93,655.07
2000,HKG,493.79,563.3,550.43
2000,HKG,628.85,598.7,573.82
2000,HKG,679.99,711.41,675.75
2000,HKG,598.32,631.42,563
2000,HKG,735.73,613.29,538.71
2000,HKG,726.54,678.68,679.36
2000,HKG,581.53,578.7,631.55
2000,HKG,609.8,559.66,604.56
2000,HKG,667.81,641.47,569.38
2000,HKG,558.63,557.8,544.95
2000,HKG,662.46,631.47,617.19
2000,HKG,690.67,625.06,593.67
2000,HKG,644.15,561.48,539.61
2000,HKG,624.27,604.15,612.61
2000,HKG,663.99,658.74,603.66
2000,HKG,600.64,516.03,483.68
2000,HKG,613.62,623.29,598.24
2000,HKG,686.12,636.01,616.29
2000,HKG,639.53,603.24,599.08
2000,HKG,602.93,537.85,560.36
2000,HKG,660.94,623.29,632.52
2000,HKG,552.53,445.09,528.72
2000,HKG,600.61,487.81,461.96
2000,HKG,547.21,520.58,478.27
2000,HKG,635.72,481.44,508.87
2000,HKG,592.21,572.34,654.11
2000,HKG,392.25,347.83,359.13
2000,HKG,345.72,349.7,324.02
2000,HKG,409.04,446,497.15
2000,HKG,381.56,414.18,423.18
2000,HKG,605.98,641.47,603.66
2000,HKG,612.06,651.42,676.66
2000,HKG,582.32,590.57,535.1
2000,HKG,611.33,565.12,538.71
2000,HKG,546.45,576.02,552.24
2000,HKG,646.4,614.15,621.63
2000,HKG,749.44,666.87,635.16
2000,HKG,647.17,597.79,595.47
2000,HKG,589.19,563.3,558.55
2000,HKG,708.23,591.43,645.99
2000,HKG,634.22,581.48,592.83
2000,HKG,732.65,598.7,673.95
2000,HKG,677.7,636.87,657.71
2000,HKG,702.91,649.65,674.02
2000,HKG,667.04,617.83,604.56
2000,HKG,667.77,586.88,615.32
2000,HKG,576.95,625.97,581.04
2000,HKG,604.46,566.93,644.25
2000,HKG,629.61,587.79,535.03
2000,HKG,554.82,609.6,632.46
2000,HKG,554.85,588.75,633.43
2000,HKG,631.93,621.47,582.91
2000,HKG,612.82,619.6,607.2
2000,HKG,510.55,524.16,589.16
2000,HKG,715.89,620.56,618.09
2000,HKG,479.29,440.59,469.25
2000,HKG,570.08,468.72,594.57
2000,HKG,572.4,618.74,592.83
2000,HKG,650.22,628.69,593.67
2000,HKG,364.04,312.43,324.02
2000,HKG,398.35,448.72,531.42
2000,HKG,351.03,337.83,367.25
2000,HKG,631.93,557.84,578.4
2000,HKG,363.24,386.01,445.73
2000,HKG,467.84,500.58,453.01
2000,HKG,484.6,451.45,495.34
2000,HKG,566.3,523.3,473.76
2000,HKG,751,629.65,582.01
2000,HKG,554.82,469.63,491.73
2000,HKG,551.03,513.31,543.22
2000,HKG,621.22,579.61,614.41
2000,HKG,394.57,385.15,434.97
2000,HKG,500.63,511.44,516.99
2000,HKG,568.59,506.94,517.96
2000,HKG,634.22,580.57,582.01
2000,HKG,657.09,565.07,574.72
