"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112090","4.4.5","36","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112091","4.4.6","31","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112092","4.4.7","7","","","","0"
"2018/2019","Nova Scotia","2016A000212","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112093","5.1.1","1869462","","","","0"
"2018/2019","Nova Scotia","2016A000212","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112094","5.1.2","94","","","","0"
"2018/2019","Nova Scotia","2016A000212","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112095","5.1.3","81","","","","0"
"2018/2019","Nova Scotia","2016A000212","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112096","5.1.4","72","","","","0"
"2018/2019","Nova Scotia","2016A000212","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112097","5.1.5","9","","","","0"
"2018/2019","Nova Scotia","2016A000212","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112098","5.1.6","19","","","","0"
"2018/2019","Nova Scotia","2016A000212","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112099","5.1.7","6","","","","0"
"2018/2019","Nova Scotia","2016A000212","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112100","5.2.1","1737987","","","","0"
"2018/2019","Nova Scotia","2016A000212","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112101","5.2.2","92","","","","0"
"2018/2019","Nova Scotia","2016A000212","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112102","5.2.3","63","","","","0"
