"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112148","6.4.7","6","","","","0"
"2019/2020","Quebec","2016A000224","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112149","7.1.1","17457623","","","","0"
"2019/2020","Quebec","2016A000224","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112150","7.1.2","89","","","","0"
"2019/2020","Quebec","2016A000224","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112151","7.1.3","80","","","","0"
"2019/2020","Quebec","2016A000224","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112152","7.1.4","62","","","","0"
"2019/2020","Quebec","2016A000224","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112153","7.1.5","18","","","","0"
"2019/2020","Quebec","2016A000224","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112154","7.1.6","20","","","","0"
"2019/2020","Quebec","2016A000224","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112155","7.1.7","11","","","","0"
"2019/2020","Quebec","2016A000224","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112156","7.2.1","12327485","","","","0"
"2019/2020","Quebec","2016A000224","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112157","7.2.2","93","","","","0"
"2019/2020","Quebec","2016A000224","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112158","7.2.3","70","","","","0"
"2019/2020","Quebec","2016A000224","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112159","7.2.4","43","","","","0"
"2019/2020","Quebec","2016A000224","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112160","7.2.5","26","","","","0"
"2019/2020","Quebec","2016A000224","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112161","7.2.6","30","","","","0"
"2019/2020","Quebec","2016A000224","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112162","7.2.7","7","","","","0"
"2019/2020","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112163","7.3.1","4670341","","","","0"
"2019/2020","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112164","7.3.2","92","","","","0"
"2019/2020","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112165","7.3.3","72","","","","0"
"2019/2020","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112166","7.3.4","49","","","","0"
"2019/2020","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112167","7.3.5","23","","","","0"
"2019/2020","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112168","7.3.6","28","","","","0"
"2019/2020","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112169","7.3.7","8","","","","0"
"2019/2020","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112170","7.4.1","7657144","","","","0"
"2019/2020","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112171","7.4.2","93","","","","0"
"2019/2020","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112172","7.4.3","68","","","","0"
"2019/2020","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112173","7.4.4","40","","","","0"
"2019/2020","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112174","7.4.5","28","","","","0"
"2019/2020","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112175","7.4.6","32","","","","0"
"2019/2020","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112176","7.4.7","7","","","","0"
"2019/2020","Ontario","2016A000235","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112177","8.1.1","30994195","","","","0"
"2019/2020","Ontario","2016A000235","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112178","8.1.2","93","","","","0"
"2019/2020","Ontario","2016A000235","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112179","8.1.3","85","","","","0"
"2019/2020","Ontario","2016A000235","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112180","8.1.4","69","","","","0"
"2019/2020","Ontario","2016A000235","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112181","8.1.5","16","","","","0"
"2019/2020","Ontario","2016A000235","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112182","8.1.6","15","","","","0"
"2019/2020","Ontario","2016A000235","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112183","8.1.7","7","","","","0"
"2019/2020","Ontario","2016A000235","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112184","8.2.1","24382175","","","","0"
"2019/2020","Ontario","2016A000235","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112185","8.2.2","96","","","","0"
"2019/2020","Ontario","2016A000235","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112186","8.2.3","65","","","","0"
"2019/2020","Ontario","2016A000235","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112187","8.2.4","36","","","","0"
"2019/2020","Ontario","2016A000235","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112188","8.2.5","28","","","","0"
"2019/2020","Ontario","2016A000235","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112189","8.2.6","35","","","","0"
"2019/2020","Ontario","2016A000235","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112190","8.2.7","4","","","","0"
"2019/2020","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112191","8.3.1","8693861","","","","0"
"2019/2020","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112192","8.3.2","100","","","","0"
"2019/2020","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112193","8.3.3","63","","","","0"
"2019/2020","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112194","8.3.4","36","","","","0"
"2019/2020","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112195","8.3.5","27","","","","0"
"2019/2020","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112196","8.3.6","37","","","","0"
"2019/2020","Ontario","2016A000235","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112197","8.3.7","0","","","","0"
"2019/2020","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112198","8.4.1","15688314","","","","0"
"2019/2020","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112199","8.4.2","95","","","","0"
"2019/2020","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112200","8.4.3","66","","","","0"
"2019/2020","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112201","8.4.4","37","","","","0"
"2019/2020","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112202","8.4.5","29","","","","0"
"2019/2020","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112203","8.4.6","34","","","","0"
"2019/2020","Ontario","2016A000235","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112204","8.4.7","5","","","","0"
"2019/2020","Manitoba","2016A000246","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112205","9.1.1","3499620","","","","0"
"2019/2020","Manitoba","2016A000246","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112206","9.1.2","94","","","","0"
"2019/2020","Manitoba","2016A000246","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112207","9.1.3","85","","","","0"
"2019/2020","Manitoba","2016A000246","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112208","9.1.4","66","","","","0"
"2019/2020","Manitoba","2016A000246","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112209","9.1.5","19","","","","0"
"2019/2020","Manitoba","2016A000246","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112210","9.1.6","15","","","","0"
"2019/2020","Manitoba","2016A000246","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112211","9.1.7","6","","","","0"
"2019/2020","Manitoba","2016A000246","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112212","9.2.1","1733432","","","","0"
"2019/2020","Manitoba","2016A000246","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112213","9.2.2","95","","","","0"
"2019/2020","Manitoba","2016A000246","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112214","9.2.3","63","","","","0"
"2019/2020","Manitoba","2016A000246","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112215","9.2.4","33","","","","0"
"2019/2020","Manitoba","2016A000246","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112216","9.2.5","30","","","","0"
"2019/2020","Manitoba","2016A000246","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112217","9.2.6","37","","","","0"
"2019/2020","Manitoba","2016A000246","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112218","9.2.7","5","","","","0"
"2019/2020","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112219","9.3.1","569147","","","","0"
"2019/2020","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112220","9.3.2","96","","","","0"
"2019/2020","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112221","9.3.3","64","","","","0"
"2019/2020","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112222","9.3.4","35","","","","0"
"2019/2020","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112223","9.3.5","30","","","","0"
"2019/2020","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112224","9.3.6","36","","","","0"
"2019/2020","Manitoba","2016A000246","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112225","9.3.7","4","","","","0"
"2019/2020","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112226","9.4.1","1164285","","","","0"
"2019/2020","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112227","9.4.2","94","","","","0"
"2019/2020","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112228","9.4.3","62","","","","0"
"2019/2020","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112229","9.4.4","32","","","","0"
"2019/2020","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112230","9.4.5","30","","","","0"
"2019/2020","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112231","9.4.6","38","","","","0"
"2019/2020","Manitoba","2016A000246","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112232","9.4.7","6","","","","0"
"2019/2020","Saskatchewan","2016A000247","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112233","10.1.1","2999246","","","","0"
"2019/2020","Saskatchewan","2016A000247","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112234","10.1.2","97","","","","0"
"2019/2020","Saskatchewan","2016A000247","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112235","10.1.3","82","","","","0"
"2019/2020","Saskatchewan","2016A000247","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112236","10.1.4","65","","","","0"
"2019/2020","Saskatchewan","2016A000247","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112237","10.1.5","17","","","","0"
"2019/2020","Saskatchewan","2016A000247","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112238","10.1.6","18","","","","0"
"2019/2020","Saskatchewan","2016A000247","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112239","10.1.7","3","","","","0"
"2019/2020","Saskatchewan","2016A000247","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112240","10.2.1","1866055","","","","0"
"2019/2020","Saskatchewan","2016A000247","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112241","10.2.2","96","","","","0"
"2019/2020","Saskatchewan","2016A000247","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112242","10.2.3","64","","","","0"
"2019/2020","Saskatchewan","2016A000247","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112243","10.2.4","35","","","","0"
"2019/2020","Saskatchewan","2016A000247","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112244","10.2.5","30","","","","0"
"2019/2020","Saskatchewan","2016A000247","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112245","10.2.6","36","","","","0"
"2019/2020","Saskatchewan","2016A000247","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112246","10.2.7","4","","","","0"
"2019/2020","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112247","10.3.1","502817","","","","0"
"2019/2020","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112248","10.3.2","98","","","","0"
"2019/2020","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112249","10.3.3","67","","","","0"
"2019/2020","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112250","10.3.4","41","","","","0"
"2019/2020","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112251","10.3.5","26","","","","0"
"2019/2020","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112252","10.3.6","33","","","","0"
"2019/2020","Saskatchewan","2016A000247","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112253","10.3.7","2","","","","0"
"2019/2020","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112254","10.4.1","1363238","","","","0"
"2019/2020","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112255","10.4.2","96","","","","0"
"2019/2020","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112256","10.4.3","63","","","","0"
"2019/2020","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112257","10.4.4","32","","","","0"
"2019/2020","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112258","10.4.5","31","","","","0"
"2019/2020","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112259","10.4.6","37","","","","0"
"2019/2020","Saskatchewan","2016A000247","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112260","10.4.7","4","","","","0"
"2019/2020","Alberta","2016A000248","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112261","11.1.1","9622399","","","","0"
"2019/2020","Alberta","2016A000248","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112262","11.1.2","94","","","","0"
"2019/2020","Alberta","2016A000248","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112263","11.1.3","83","","","","0"
"2019/2020","Alberta","2016A000248","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112264","11.1.4","75","","","","0"
"2019/2020","Alberta","2016A000248","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112265","11.1.5","8","","","","0"
"2019/2020","Alberta","2016A000248","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112266","11.1.6","17","","","","0"
"2019/2020","Alberta","2016A000248","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112267","11.1.7","6","","","","0"
"2019/2020","Alberta","2016A000248","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112268","11.2.1","6801273","","","","0"
"2019/2020","Alberta","2016A000248","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112269","11.2.2","96","","","","0"
"2019/2020","Alberta","2016A000248","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112270","11.2.3","64","","","","0"
"2019/2020","Alberta","2016A000248","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112271","11.2.4","32","","","","0"
"2019/2020","Alberta","2016A000248","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112272","11.2.5","31","","","","0"
"2019/2020","Alberta","2016A000248","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112273","11.2.6","36","","","","0"
"2019/2020","Alberta","2016A000248","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112274","11.2.7","4","","","","0"
"2019/2020","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112275","11.3.1","2397846","","","","0"
"2019/2020","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112276","11.3.2","97","","","","0"
"2019/2020","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112277","11.3.3","66","","","","0"
"2019/2020","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112278","11.3.4","34","","","","0"
"2019/2020","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112279","11.3.5","32","","","","0"
"2019/2020","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112280","11.3.6","34","","","","0"
"2019/2020","Alberta","2016A000248","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112281","11.3.7","3","","","","0"
"2019/2020","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112282","11.4.1","4403427","","","","0"
"2019/2020","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112283","11.4.2","96","","","","0"
"2019/2020","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112284","11.4.3","63","","","","0"
"2019/2020","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112285","11.4.4","31","","","","0"
"2019/2020","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112286","11.4.5","31","","","","0"
"2019/2020","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112287","11.4.6","37","","","","0"
"2019/2020","Alberta","2016A000248","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112288","11.4.7","4","","","","0"
"2019/2020","British Columbia","2016A000259","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112289","12.1.1","8630787","","","","0"
"2019/2020","British Columbia","2016A000259","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112290","12.1.2","89","","","","0"
"2019/2020","British Columbia","2016A000259","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112291","12.1.3","80","","","","0"
"2019/2020","British Columbia","2016A000259","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112292","12.1.4","65","","","","0"
"2019/2020","British Columbia","2016A000259","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112293","12.1.5","15","","","","0"
"2019/2020","British Columbia","2016A000259","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112294","12.1.6","20","","","","0"
"2019/2020","British Columbia","2016A000259","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112295","12.1.7","11","","","","0"
"2019/2020","British Columbia","2016A000259","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112296","12.2.1","8896624","","","","0"
"2019/2020","British Columbia","2016A000259","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112297","12.2.2","94","","","","0"
"2019/2020","British Columbia","2016A000259","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112298","12.2.3","66","","","","0"
"2019/2020","British Columbia","2016A000259","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112299","12.2.4","36","","","","0"
"2019/2020","British Columbia","2016A000259","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112300","12.2.5","30","","","","0"
"2019/2020","British Columbia","2016A000259","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112301","12.2.6","34","","","","0"
"2019/2020","British Columbia","2016A000259","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112302","12.2.7","6","","","","0"
"2019/2020","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112303","12.3.1","3240177","","","","0"
"2019/2020","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112304","12.3.2","96","","","","0"
"2019/2020","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112305","12.3.3","66","","","","0"
"2019/2020","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112306","12.3.4","39","","","","0"
"2019/2020","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112307","12.3.5","27","","","","0"
"2019/2020","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112308","12.3.6","34","","","","0"
"2019/2020","British Columbia","2016A000259","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112309","12.3.7","4","","","","0"
"2019/2020","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112310","12.4.1","5656447","","","","0"
"2019/2020","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112311","12.4.2","92","","","","0"
"2019/2020","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112312","12.4.3","67","","","","0"
"2019/2020","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112313","12.4.4","35","","","","0"
